Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2,Generated Recipe - Paper
chilied red bean dip,dips	mexican	beans	chili,6 servings,"2 tb corn oil	1    garlic clove, crushed	1    onion, finely chopped	1    fresh green chili, seeded, finely chopped	1 ts hot chili powder	1 cn red kidney beans (15 oz)	1/2 c  shredded cheddar cheese	salt to taste	thin slivers fresh red and green chilies	fresh parsley sprig (opt)	tortilla chips",hours margarine wafer flour fruit oil machine cocoa margarine wafer and margarine wafer blend hot margarine third and fitted batte season blend hot margarine muffin and margarine wafer and raisins batte margarine wafer sides season if shortening portion ingredients blend hot margarine cream and raisins batte margarine coconutbake crushed season if shortening portion ingredients blend hot margarine cream and raisins batte margarine spray sides mouth and margarine spray sides mouth blend cereal flour margarine unsweetened cream and margarine boiling over blend creamed rise ube min blend <EOS>,raisins margarine worcestershire flour spoon dab t scraping shortening slightly ingredients blend table and jelly margarine dente blend table margarine eight if too moist coat yeast begins doodth blend hours flour fruit oil mixture and only combined batte dust sides egg blend table medium white shrimp blend hot margarine boiling over blend double and souffle scraping shortening slightly ingredients blend <EOS>,wash the beans and soak overnight in the water drain the water and add the onion and cook for minutes add the beans and water cook for minutes add the tomatoes and simmer for minutes add the beans and cook for minutes more add the tomatoes and simmer for minutes more or until the beans are tender and serve <EOS>,heat the oil in a large skillet over medium heat add the onion and saute until the onions are translucent add the beans and cook for minutes or until the beans are soft add the beans and cook for minutes or until the beans are tender and the liquid is absorbed <EOS>,add tomato sauce to basic sauce and cook thoroughly add oysters and cook for about minutes after boiling starts add rice chopped onion tops and parsley add water to make liquid in pot for each cup rice stir and mix thoroughly until mixture comes to boil cover tightly and reduce heat to simmer cook for minutes without removing the lid
chinese beef stir-fry w/vegetables,oriental,4 servings,"1 lb sirloin tips; cut into 1 cubes	1 tb sherry, dry	1 tb soy sauce	1 tb cornstarch	1/2 ts sugar	6 1/2 ts oil	1/8 ts pepper, black	2    garlic clove; pressed	1 tb oyster sauce	2 lg broccoli stalk; stems removed & cut into	1/2 c  beef broth	8    baby corn spear; drained	20    snow pea pods, fresh	1    scallion with top; chopped",fold margarine evenly if let stand if until if and paul flour fruit oil mixture blend hot margarine evenly and margarine boiling over blend cookie crumbs blend gradually margarine spray moist fruit degrees green oven and to scraping which ingredients made batte margarine hickory sides whisk blend <EOS>,fold squares over flour fruit airtight mixture blend double and marshmallows rise chillies this pour blend <EOS>,in a large skillet heat oil over medium heat add onion and garlic cook until onion is soft add onion and garlic and saute until onion is tender stir in flour and salt add to the skillet and stir until the mixture starts to the consistency add the cheese and stir until the mixture starts to the consistency add the remaining ingredients and stir until the mixture is smooth add the cheddar cheese and stir until the mixture is smooth and smooth add the remaining ingredients and stir until the mixture is smooth and smooth add the cheese mixture and stir until the mixture is smooth and smooth add the remaining ingredients and stir until the cheese is melted and smooth stir in the remaining ingredients and stir until the mixture is smooth and smooth add the cheese mixture and stir until smooth add the cheese mixture to the tortilla,heat oven to degrees f in large bowl combine beans corn syrup and corn beans and water in a large mixing bowl add enough water to cover and simmer until beans are tender about minutes remove from heat and let stand covered for hour remove from heat and let stand covered for hour drain beans and place in a large bowl add enough water to cover and let stand at least hour before serving <EOS>,in a small mixing bowl add tablespoons lime juice to red wine vinegar add ground cumin sugar salt and white pepper to taste with a whisk stir in the peanut oil to form an emulsion then blend in ginger garlic and mint allow the mixture to sit for onehalf hour before using for the flavors to blend peel carrots then shred with a grater or the appropriate attachment in a food processor place carrots in a large mixing bowl and add apricots add dressing tossing salad until well coated spon salad onto large chilled romaine lettuce leaves and serve
chinese chicken livers,snacks	poultry,1 servings,1 lb chicken livers	1 tb soy sauce	1/4 c  vegetable oil	2 tb honey	1 tb white wine	1    or 2 cloves minced garlic,flour fruit oil mixture if fold margarine butter if sugar if and until flour fruit mixture blend x7 crumbs blend hot margarine butter and margarine boiling over blend cookie crumbs blend gradually margarine spray moist fruit degrees frothy yogurt blend to rise minutes scraping which ingredients made batte margarine hickory sides whisk blend <EOS>,two eggs combine mashed blend fold squares over flour fruit mixture blend double and marshmallows rise chillies this pour blend <EOS>,in a wok heat wok over medium heat add the onion and cook until golden brown about minutes add the wok and cook until the vegetables are tender about minutes add the remaining ingredients and cook until the vegetables are tender about minutes to thicken add the remaining ingredients and cook until the vegetables are tender about minutes add the remaining ingredients and cook until the vegetables are tender and vegetables are tender add the remaining ingredients and heat until the sauce thickens and vegetables are tender add the sauce and cook for minutes more or until the sauce thickens <EOS>,combine all ingredients in a large bowl and let stand at room temperature for hours or overnight drain and reserve marinade grill over medium heat for minutes or until golden brown serve hot <EOS>,preheat oven to yes combine fenugreek cardamom coriander cumin mustard seeds cloves and broken cinnamom in a small pan and bake for minutes shaking the pan a few times let cool combine the toasted spices with the mace nutmeg cayenne tumeric and toasted peppers in a spice mill or coffee grinder dedicated to spices grind into a powder store airtight
chinese joy pot,vegetarian	main dish	ethnic,8 servings,"1/2 c  low-sodium soy sauce	1/2 c  peanut butter	2 tb toasted sesame oil	2 tb curry powder	3 c  bok choy; chopped	2 pk frozen leaf spinach; thawed and drained (8 oz each)	2 c  snow pea pods	6    carrots; sliced into 1/2"" thick pieces	2 lg red onions; thinly sliced	8 oz firm tofu; cut into 1"" cubes	2    green bell peppers; cut into 1/2"" thick strips	2    red bell peppers; cut into 1/2"" thick strips",two eggs combine minutes glaze blend flour fruit oil bananas mixture if fold margarine boiling over if water margarine churn sauce if margarine cream sauce if margarine cream sauce if margarine cream sauce if margarine cream sauce if margarine cream sauce if margarine cream sauce if margarine cream sauce if margarine cream sauce if margarine cream sauce if margarine cream sauce if and margarine boiling over blend gradually while margarine horseradish and to rise minutes scraping candies ingredients made batte margarine hickory sides whisk blend <EOS>,flour fruit oil fryer if fold margarine sugar if t if and until blend registered combine fruit foods if corporation chocolate and souffle scraping slightly ingredients blend hot margarine boiling over and souffle scraping slightly ingredients blend <EOS>,in a small bowl combine all the ingredients and mix well cover and refrigerate for hours or overnight serve with grilled chicken or chicken or chicken or noodles or fresh chicken or chicken or noodles or fresh fresh vegetables <EOS>,marinate chicken in a large skillet over medium heat until the chicken is golden brown about minutes remove from the heat and add the chicken stock and stir until the sauce is smooth add the chicken stock and simmer for minutes more serve hot <EOS>,in a small bowl beat butter and sugar until creamy fold in gingerroot or crystillized ginger salt and peaches until evenly distributed spoon into a small serving dish cover and refrigerate let stand at room temperature to minutes before serving
chinese spareribs,appetizers	chinese,12 servings,1/2 c  butter or margarine	1    med. clove garlic 	1    env. soup mix 	16 oz (1 can) tomato puree	1/2 c  brown sugar	1/4 c  imported soy sauce 	1/4 c  white vinegar	1/4 c  chili sauce	5 lb spareribs,too margarine combos moist airtight hazelnuts and hours flour fruit out mixture blend fold margarine boiling over if water margarine butter and margarine butter blend gradually margarine spray moist margarine adding oven and to rise minutes scraping candies ingredients made batte margarine hickory sides whisk blend <EOS>,two eggs combine minutes glaze blend fold boiling over flour fruit mixture blend hot boiling over and cookie crumbs blend double and marshmallows rise chillies this pour blend two eggs combine minutes blend to rise minutes scraping mugs ingredients blend corn mediumsized glass blend <EOS>,cut steak into inch cubes heat oil in wok add the carrots and saute until the vegetables begin to wilt about minutes add the carrots and soy sauce mix well add the rice and heat oil in a wok or wok or wok add the carrots and saute for minutes add the carrots and stirfry for minutes add the carrots and stirfry for minutes add the carrots and stirfry for minutes add the carrots and stirfry for minutes add the carrots and stirfry for minutes more or until the vegetables are tender add the carrots and stirfry for minutes more serve over rice <EOS>,heat oil in large skillet over medium heat add onions and cook stirring until vegetables are tendercrisp about minutes add spinach and cook stirring until vegetables are tendercrisp about minutes add spinach and cook until vegetables are tendercrisp about minutes add spinach and cook stirring until vegetables are tendercrisp about minutes add spinach and simmer until vegetables are tender about minutes add spinach and cook stirring until vegetables are tendercrisp about minutes add spinach and cook stirring until heated through about minutes add spinach and cook until vegetables are tendercrisp about minutes remove from heat and let stand minutes remove from heat and let stand covered for minutes remove from heat and let stand covered for minutes remove from heat and let stand covered for minutes remove from heat and let stand covered for minutes remove from heat and let stand covered for minutes remove from heat and let stand,rinse drain and trim core from romaine discarding discolored leaves tear into bitesized pieces you should have about just before serving mix romaine and cherry tomatoes mix lightly with chive dressing top with cheese beets and parsley if you like as you serve salad divide cheese and beets evenly among each portion in blender or food processor combine salad oil red wine vinegar olive oil salt mustard pepper and chives whirl or process until smoothly blended if dressing is made ahead shake well before using
cho-chang sauce ala the dumpling cookbook,cookbook	sauces,1 servings,"1/3 c  soy sauce	2 tb white vinegar, (rice vinegar f	possible)	1/2 ts sugar	2    scallions, finely chopped	1    clove garlic, minced or put	through a garlic press	2 tb peanuts, chopped (optional)",flour fruit oil mixture if fold margarine sugar if peaks if and until blend cookie crumbs blend gradually while margarine spray blend x7 vigorously combine diamonds crumbs blend creamed bourbon made rise ube min blend <EOS>,hours margarine per flour fruit mixture and hot margarine boiling over blend add crumbs blend hot margarine boiling over blend souffle scraping slightly ingredients blend hot margarine boiling over and souffle scraping slightly ingredients blend <EOS>,in a small bowl combine all the ingredients and mix well marinate for hours or overnight in the refrigerator for hours or overnight before serving <EOS>,combine all ingredients in a large mixing bowl and let stand at room temperature for to hours or until ready to serve reheat in a small bowl <EOS>,peel potatoes wash with cold water and drain grate at once and drain off water that collects mix potatoes onion flour bacon bits eggs and seasonings blending well heat butter in skillet just before butter browns drop in batter and flatt should make approx pancakes best served with sour cream converted by mmconv vers
smoked crawfish a creole mustard roasted red pep,emeril,12 servings,"1 c  parmigiano-reggiano cheese	1 c  bread crumbs	1/2 c  melted butter	1 tb olive oil	1/2 c  chopped onions	1/2 c  chopped red peppers	2 ts salt	1 ts white pepper	1 3/4 lb cream cheese, at room	temperature	4 lg eggs	1 c  grated maytag white cheddar	cheese, plus 1/4 cup for	garnish	1/2 c  heavy cream	1 lb smoked crawfish tails, rough	chopped	4    roasted red peppers	2/3 c  white wine	1/2 c  creole mustard	salt and pepper	1/4 c  fried crawfish tails	1 tb chopped parsley	1 tb brunoise red onions",two eggs combine minutes light hours margarine horseradish flour fruit oil mixture blend hot margarine third and margarine wafer and fitted batte season blend hot margarine sauce and margarine boiling over blend cookie crumbs blend gradually margarine spray moist fruit degrees frothy yogurt blend to rise minutes scraping which ingredients made batte margarine hickory sides whisk blend <EOS>,two eggs combine microwaving blend hours flour fruit mixture cocoa fruit creole blend hot margarine muffinpan drop if margarine mealmaster if and until blend cereal flour margarine bottom if at cooled if batte spray refrigerate and dates blend hot margarine boiling over and in crumbs blend continue batte ghee reamining blend continue mediumsized glass blend <EOS>,in a small bowl combine all the ingredients and mix well cover and refrigerate for at least hours or overnight before serving <EOS>,combine all ingredients in a large mixing bowl and mix well add the sugar and vinegar and stir until well combined pour into a greased and floured inch pan and bake at for minutes <EOS>,rinse and crisp the salad greens break iceberg lettuce into bitesize pieces carefully pat iceberg dry on towel place in large plastic bag add italian dressing shake lightly until all leaves are covered place in strip on medium platter or plate repeat with each green sprinkle lightly with parmesan cheese
tajik non,breads,"8 breads about 6 inches in diameter, with a soft raised rim",1/2 c  warm water	1 ts sugar	1 tb dry yeast	1 c  plain yogurt (2 percent or hole milk)	1 c  water	1 tb sea salt	2 c  whole wheat flour	2 1/2    to 3 1/2 cups unbleached	all-purpose or hard white	flour	topping:	approximately 2 tablespoons	finely chopped shallot	approximately 1 teaspoon	salt	water for spritzing,,,,,
fresh egg pasta dough,tvfn,2 servings,"2 c  all-purpose flour	1 ts salt	2 lg eggs, beaten lightly	1 tb olive oil",,,,,
minty lime cooler,tvfn,about 6 cups,1/2 c  freshly squeezed lime juice	1/3 c  sugar	1/2 c  packed mint leaves,,,,,
granita,,6 servings,4 c  simple syrup (see below)	4 c  cubed melon (about 2-3 small	ripe melons)	1/4 c  sweet white wine	2 tb lemon juice	1    egg in shell	mint sprig for garnish	6    8 berries for garnish,flour fruit oil mixture if fold margarine boiling over if water margarine churn sauce if margarine until if and paul blend x7 crumbs blend creamed cocoa fruit uk square margarine can blend <EOS>,flour fruit oil fryer if fold margarine deepfry if oles if deepfry if deepfry if until if and paul blend registered combine fruit foods if corporation chocolate and souffle scraping slightly ingredients blend hot margarine inside if and cereal batte jar and mouth blend <EOS>,combine all ingredients in a small bowl whisk together the sugar and salt and pepper mix well chill at least hour <EOS>,combine all ingredients in a mixing bowl blend well add the remaining ingredients and mix well and chill for hour <EOS>,combine arugula tomatoes and oilve oil let stand for hour toss with cooked spaghetti and garnish with shaved parmesan cheese
mango-tuna ceviche parfait,,4 servings,3/4 lb tuna steak	1/2 c  lime juice	1/2 c  (4 ounces) coconut milk	2 tb olive oil	salt and pepper	1 c  small diced mango	2 tb small diced red pepper	2 tb chopped fresh cilantro	2 tb toasted coconut	2 tb minced shallots	cilantro sprigs for garnish,flour fruit oil bananas mixture if fold margarine evenly if let stand if until if and paul flour fruit oil mixture blend hot margarine third and bubbly and fitted batte season blend hot margarine sauce and cereal batte crumbs speed blend hot margarine boiling over and cookie crumbs blend double and marshmallows scraping this pour blend creamed rise ube min blend <EOS>,fold squares over flour fruit airtight mixture blend double and marshmallows rise chillies this pour mediumsized glass blend <EOS>,combine all ingredients in a small bowl and mix well pour over the ice and serve <EOS>,combine all ingredients in a mixing bowl and blend until smooth pour into a serving bowl garnish with lemon slices and serve <EOS>,cut bananas into halves lengthwise sprinkle with sugar lemon juice orange peel and rum let stand for hours make a batter of flour water and tablespoon oil mixing well and blend in stiff egg white drain bananas dip into batter and fry in hot olive oil until just golden in color sprinkle with sugar and serve hot
potato latkes variations,tvfn,4 servings,"1 1/2 lb russet potatoes peeled	1/4 c  finely chopped shallots	2 lg eggs, lightly beaten	2 tb flour (or more) or matzo	meal (during passover)	1 1/2 ts salt and freshly ground	black pepper	vegetable oil for frying",flour fruit oil bananas mixture if fold margarine sauce if third if and chef paul blend cookie crumbs blend hot margarine sauce and margarine boiling over blend cookie crumbs blend gradually margarine spray moist fruit degrees frothy yogurt blend to rise minutes scraping candies ingredients made batte margarine hickory sides whisk strain blend <EOS>,cookie squares over together blend continue blend creamed cocoa as cream blend <EOS>,combine all ingredients in a small bowl whisk together the oil and the remaining ingredients together add the milk and toss to coat well with the sauce and serve with a little coconut <EOS>,heat oil in heavy skillet over medium heat add garlic and cook stirring frequently until golden about minutes add fish and garlic cook stirring until browned about minutes add salt and pepper to taste simmer uncovered minutes stirring occasionally to serve <EOS>,alternate apples chicken bacon and onions on each of metal skewers leaving space between each and ending with apple half mix remaining ingredients cover and grill kabobs to inches from medium coals to minutes turning and brushing or times with soy sauce mixture until chicken is done and apples are hot servings nutrition information per serving percent of us rda
corn pancakes,toohot,"12 large pancakes, serves 46","2 c  finely ground cornmeal, referably organic	1/2 c  all-purpose flour	2 ts baking soda	1/2 ts coarse salt	1 tb sugar	1/4 c  (1/2 stick) unsalted butter, ut into small pieces	2 c  buttermilk	1/4    1/2 cup milk	butter or oil for coating	pan",,,,,
crema catalana,hot,6 servings,"5 c  whole milk (do not use	lowfat or nonfat)	8    3x1inch strips lemon peel	4    3x1inch strips orange peel	2    cinnamon sticks, broken in	half	8 lg egg yolks	1 c  sugar	1/2 c  cornstarch	6 tb brown sugar	vanilla extract",,,,,
southwestern steak po boy,emeril,1 very large sandwich,"1/2 c  olive oil	1/4 c  emeril's southwestern spice, ecipe follows	1    flank steak, about 2 pounds	1 lg loaf of french bread	1/4 c  creole mustard	1    poblano pepper, roasted, eeled and seeded	6    tomatillos, roasted	1 bn green onions, roasted	1    head of garlic, roasted	1    beef steak tomato, uartered	juice of 2 limes	1 tb minced garlic	6    corn tortillas, cut into	thin strips	2 c  guacamole	1/2 c  cilantro creme fraiche",hours margarine enough flour fruit oil mixture blend hot margarine evenly and margarine enough and cereal batte margarine spray sides crumbs speed blend hot margarine evenly and cereal batte crumbs shallow blend gradually margarine spray moist fruit degrees green oven and to rise minutes scraping which ingredients made batte margarine hickory sides whisk blend <EOS>,hours margarine enough flour margarine t and only combined scraping slightly ingredients blend hot margarine evenly if until if and evenly blend only combined batte fill blend hot margarine evenly if let stand if and until blend only bulk flour bourbon t scraping slightly ingredients blend only combined scraping slightly ingredients blend only combined flour bourbon t scraping slightly ingredients blend table crumbs blend hours margarine dish flour fruit oil mixture and only bulk batte fill blend roasting wok flour margarine green oven blend to rise minutes glaze scraping except ingredients blend <EOS>,combine all ingredients in a small bowl and stir until well blended pour into a greased casserole dish bake at f for minutes or until lightly browned cool slightly on wire racks <EOS>,combine all ingredients in a mixing bowl blend well add milk and vanilla extract and stir until well combined pour into prepared pan bake at degrees for minutes or until golden brown <EOS>,blend in processor until smooth consistency
flos tuna melt,emeril,4 blue-plate lunch specials,"1    (12-ounce) tuna steak, oached	1/2    minced yellow onions	3    hard boiled eggs, chopped	1 ts minced garlic	1 tb sweet pickle relish	1/4    to 1/2 cup mayonnaise	salt and black pepper	8    thin slices of white bread, oasted	4    (1-ounce) slices of medium	cheddar cheese	4    (1/2-inch) slices of creole	tomatoes	1    avocado	2 c  cole slaw, purchased or ome-made	4    bags of zap's potato chips	4    pickle spears",,,,,
gingerbread dough/pepparkakor,tvfn,about 4 dozen,"1/2 c  (1 stick) butter, at room	temperature	1/2 c  dark brown sugar	1/4 c  light molasses or dark corn	syrup	1 tb cinnamon	1 tb ground ginger	1 1/2 ts ground cloves	1 ts baking soda	2 c  all-purpose flour	2 tb cream, milk or water",,,,,
carciofi mint garlic,molto,4 servings,"20    baby artichokes	1/4 c  extra virgin olive oil	12    cloves garlic, peeled	6 oz dry white wine, frascati	1 tb crushed red pepper flakes	1/2 c  fresh mint leaves, stems	removed",become unsalted and too moist airtight hazelnuts blend hours flour degrees chilies thermometer let yogurt blend logs cocoa boiling over blend double and marshmallows rise chillies shells pour made crumb blend <EOS>,cookie crumbs blend hot margarine boiling over blend registered combine fruit foods if at cooled blend corporation chocolate combine fluffy and souffle scraping slightly ingredients blend <EOS>,combine all ingredients in a small bowl stir in molasses and molasses and mix well pour over the mixture and bake at degrees for minutes or until the syrup is done cool slightly and serve with a syrup or jam <EOS>,combine all ingredients in a large mixing bowl and mix well add the flour and knead until smooth gradually add the flour mixture to the mixture mixture stirring well until it forms a thick paste add the milk and stir until the mixture is smooth add the stock and simmer for minutes <EOS>,lemon slices to garnish combine avocados and broth in blender blend until smooth place in a bowl you can cover add onions stir in half and half salt and pepper cover and refrigerate overnight before serving stir in lemon juice garnish with lemon slices
savory hot soy milk do jiang,try it,2 servings,"2 c  soy milk; unsweetened	1 ts vinegar, cider	1 ts shrimp, dried; finely chopped	1 tb pork, dried; finely shredded	1/4 c  croutons; small, or bread cubes	2    onions, green; finely chopped	1 ts cilantro, fresh; coarsely chopped	1/4 ts oil, chile; to taste",flour fruit oil bananas mixture if fold margarine sauce if margarine cream if margarine sauce if and margarine boiling over blend cookie crumbs blend gradually while margarine spray blend x7 crumbs blend creamed cocoa fruit stewed square margarine can blend <EOS>,flour fruit oil mixture if fold margarine evenly if sugar if until if and sugar blend hot margarine evenly if let stand if and until blend cookie crumbs blend hot margarine evenly and let equal blend hot margarine boiling over and cookie crumbs blend marshmallows scraping rise chillies candies ingredients blend <EOS>,combine all ingredients in a large bowl toss to coat with the vinaigrette and serve immediately <EOS>,heat oil in a large skillet over medium heat add garlic and cook stirring until golden brown about minutes add garlic and cook stirring until softened about minutes add the garlic and cook until the vegetables are tender about minutes remove from heat and let stand minutes drain the garlic and reserve the liquid in a large skillet over medium heat add the garlic and cook for minutes stirring occasionally add the garlic and cook for minutes stirring occasionally add the stock and simmer for minutes serve hot <EOS>,make fresh chicken broth by simmering chicken carrots celery onion garlic parsley salt and pepper in enough water to cover when chicken is thoroughly cooked remove it and skim fat from broth simmer broth reducing it until it is very rich remove unpeeled garlic cloves squeeze cooked garlic from cloves and mash to make puree discard skins in frying pan saute the peeled cloves in butter when lightly browned add flour and small amount of broth and mix with a wire whisk until velvety pour this mixture into the remaining broth ad pureed gralic and stir tear chicken into bitesized pieces and add to the soup sprinkle with fresh parsley and serve
portugese kale clam soup,emeril,about 8 servings,"2 tb olive oil	1 lb chorizo sausage, finely	chopped	2 c  chopped onions	1 c  diced celery	1 c  diced carrots	4 c  shredded kale	2 tb chopped garlic	1    bouquet garni	3 qt chicken stock	crushed red pepper	4    dozen littleneck clams, crubbed	1/4 c  chiffonade of cilantro	1    loaf of crusty garlic bread",flour fruit oil mixture if fold margarine coated if bubbly if and until flour fruit mixture blend hot margarine third and bubbly and fitted batte season blend hot margarine sauce and margarine boiling over blend cookie crumbs blend creamed rise ube min blend <EOS>,chocolate eggs combine minutes glaze blend use fruit soup onion loaf onion soup onion soup onion reconstituted blend hours flour fruit mixture if double cocoa t and only combined batte egg blend egg whites blend cookie squares over together blend hot boiling over and cookie crumbs blend double and marshmallows rise chillies this pour mediumsized glass blend <EOS>,combine all ingredients in a small bowl and stir to blend add the shrimp and mix well cover and refrigerate for hours or overnight in refrigerator overnight before serving <EOS>,heat oil in large skillet over medium heat add onion and garlic and cook stirring until onions are softened about minutes add the zucchini and stir to coat the mixture and cook stirring occasionally for minutes or until the chicken is cooked through and the liquid is absorbed <EOS>,in a food processor fitted with a metal blade combine the flour baking soda and salt blending well add the shortening all at once and process until the mixture becomes coarse meal add the onion celery seed and red pepper flakes divide the dough in half and on a wellfloured board roll out each half to inch thickness cut into squares or rectangles with a knife or pizza cutter place the crackers on a lightly greased cookie sheet piercing each cracker times with a fork repeat for the remaining half of the dough bake at degrees f for to minutes or until medium brown cool on a wire rack
spiced cream,emeril,4 cups,1 qt heavy cream	1/4 c  granulated sugar	1/2 ts ground cinnamon	1/4 ts freshly grated nutmeg,flour fruit oil mixture if fold margarine evenly if let stand if until if and paul flour fruit mixture blend gradually margarine spray moist fruit degrees frothy yogurt blend to rise minutes scraping which ingredients made batte margarine hickory sides whisk strain blend corn medium part blend <EOS>,cream margarine butter and sugar batte form and separate blend hot margarine muffinpan drop if peppermint crumbs blend hot margarine cream and overnight combine in batte margarine spray sides welloiled blend hot margarine boiling over blend continue batte any combine till blend <EOS>,in a large skillet heat oil over mediumhigh heat add the onion and saute until the vegetables begin to wilt about minutes add the vegetables and seasonings and stir until the vegetables are tender add the remaining ingredients and cook for minutes more serve hot <EOS>,in a large skillet over medium heat add the onions and cook the chicken over low heat until the onions are soft and the vegetables are tender about minutes add the garlic and cook for minutes stirring occasionally to prevent sticking and cook the pasta for minutes <EOS>,in a qt or qt electric cooker mix together the garbanzo beans rice onion bell pepper tomatoes with their liquid water garlic powder saffron adn of the olives top with the chicken season with the paprika and garlic powder cover and cook on the low heat setting about hrs or until the chicken is cooked through and the rice is tender mix in the remaining olives serve garnished with parsley author natalie haughton
pithiviers,molto,4 servings,"1 lb puff pastry	almond cream:	1/2 lb butter	1/2 lb sugar	1/2 lb almonds, finely ground	2    eggs	1    egg, for wash	1 tb water	1/4 c  slivered almonds",fold cream sauce if unsweetened cream if cream sauce if and unsweetened cream blend cookie crumbs blend gradually while margarine spray blend x7 crumbs blend sodium cocoa springle blend <EOS>,cookie squares over together blend continue crumb mediumsized glass blend <EOS>,combine all ingredients in a small bowl and stir well pour into a large bowl and pour over the fish and bake at degrees for minutes or until the center is done cool slightly before serving <EOS>,combine all the ingredients in a large bowl and let stand at room temperature for to weeks before using <EOS>,serve these sweetandsour nibbles as cocktail food or give jars of them to friends cook carrots in boiling water until crisptender drain cut carrots into inchlong sticks and pack upright in small hot sterilized jars combine sugar vinegar water and salt in saucepan tie cinnamon stick and pickling spice in cheesecloth bag and add to vinegar mixture boil to minutes fill jars with boiling syrup leaving inch head space adjust lids and process in boiling water bath minutes c the los angeles times
chicken confit sandwich,emeril,1 serving,"1/2 c  thinly sliced new potatoes	roasted garlic and black	pepper aioli:	2    egg yolks	4    cloves roasted garlic	1 tb black pepper	1 c  olive oil	fillings:	1 c  shredded chicken or duck	confit	2    whole roasted roma tomatoes, ulienned	1/2 c  wilted spinach seasoned with	garlic, shallots, salt and epper	1    grilled red onion ring	3 sl terrabone or any other hard	cheese, 2"" by 1/4""	2 sl braided bread, recipe above	garnish:	potato chips	2 tb chopped parsley",flour fruit bananas mixture if fold margarine bottom if margarine bottom if and bottom flour fruit bananas mixture blend hot margarine bottom and cereal batte crumbs speed blend gradually moist fruit degrees frothy yogurt blend to rise minutes scraping which ingredients made batte margarine nonmetallic fritter saute blend <EOS>,flour fruit oil hershey if chocolate margarine coated while ending chocolate blend hot margarine crescents combine margarine rest muffinpan drop if at cooled blend hot margarine crescents and overnight combine raisins batte margarine sugar sides grounds blend hot margarine crescents and overnight combine raisins batte margarine sugar sides grounds blend cereal flour margarine crescents and margarine sugar blend raisins margarine crescents flour margarine marinade degreesbrush batte margarine crescents sides grounds blend cereal flour margarine crescents and margarine rest muffinpan drop blend hot margarine crescents and cereal flour margarine bottom blend souffle scraping slightly ingredients blend cereal flour margarine bottom if and souffle scraping slightly ingredients blend creamed cocoa as cream blend <EOS>,in a large bowl combine the butter and sugar and beat until the sugar is dissolved add the flour and beat well add the almonds and almonds beat well add the almonds and almonds beat the egg yolks and beat until the sugar is dissolved add the almonds and almonds and beat until smooth add the cream and almonds and beat until smooth add the almonds and almonds and beat until smooth add the almonds and almonds and beat until smooth add the sugar and beat until the mixture thickens and thickens add the cream and the cheese and beat until smooth add the almonds and almonds beat the eggs and beat until the sugar is dissolved add the flour and beat until the mixture thickens and add the almonds and almonds pour the mixture into a greased pie plate bake at f for minutes or until the almonds are,beat egg whites until light and fluffy beat in egg whites until soft peaks form into egg whites and fold in egg whites until well combined pour into prepared pan bake at degrees for minutes <EOS>,place rhubarb in x8 baking dish combine granulated sugar and tablespoons flour sprinkle over rhubarb combine brown sugar remaining flour oatmeal and salt cut butter into mixture as for pastry sprinkle over rhubarb bake at f for minutes lsb flanagan parentteacher club cookbook genied weissgerbe aolrik w rsb
mozzarella in carrozza,live,6 servings,"6 sl home style white bread, bout 3 1/2 by 3 1/2 -inches	square	6    bread size slices fresh	mozzarella, cut 1/4-inch	thick	1 c  all purpose flour	1    recipe seasoned egg batter, ecipe follows	2 c  bread crumbs, recipe	follows	approximately 3 cups home	made or store bought	marinara sauce	approximately 6 cups	vegetable oil	2 tb chopped italian parsley",two eggs combine family light hours margarine muffin flour fruit oil mixture blend hot margarine third and bubbly and fitted batte season blend hot margarine sauce and margarine boiling over blend cookie crumbs blend creamed rise ube min blend <EOS>,fold squares over flour fruit airtight mixture and cookie crumbs blend marshmallows batte spray sides tester welloiled blend hot margarine muffinpan cups if at batte crumbs speed blend hot margarine muffinpan cups if at batte speed blend gradually moist fruit airtight mixture and only combined batte margarine spray sides tester tops blend hot margarine muffinpan cups if at batte margarine spray sides tops and margarine spray sides tester begins blend hot margarine muffinpan cups if at batte welloiled blend bars combine margarine eggs and souffle scraping slightly ingredients blend hot margarine inside if and x7 combine cookie blend hot margarine muffinpan cups if at batte welloiled blend bars combine margarine eggs and souffle scraping slightly ingredients blend <EOS>,combine all ingredients in a small bowl stir in bread crumbs and parsley toss to coat with sauce and place in a small bowl stir in the remaining ingredients and mix well cover and refrigerate until ready to serve <EOS>,heat oil in skillet over medium heat add onion and garlic and cook stirring until onion is softened about minutes add spinach and salt and pepper to taste and cook until heated through about minutes add spinach and cook stirring until heated through about minutes add spinach and cook until vegetables are tender about minutes add spinach and cook stirring until heated through about minutes add spinach and cook until heated through about minutes or until vegetables are tender and vegetables are tender and liquid is absorbed <EOS>,heat oil and butter in large heavy skillet add onions and saute until tender puree garlic and ginger in blender with small amount of water and add to onions add caraway seeds salt pepper and turmeric cook minutes stirring often to prevent sticking and scorching add tomato puree and heat through add peas and simmer minutes add coriander cumin and red pepper and cook minutes add mushrooms cover and cook minutes longer or until mushrooms are tender serve with yogurt and sweet chutney if desired
